strike,expiry,days_to_expiry,option_type,market_price,implied_vol,moneyness
707.0,2026-07-01,5,put,0.575,0.20988,-0.035023
708.0,2026-07-01,5,put,0.63,0.207981,-0.03361
709.0,2026-07-01,5,put,0.72,0.208301,-0.032198
710.0,2026-07-01,5,put,0.745,0.203386,-0.030789
711.0,2026-07-01,5,put,0.825,0.202053,-0.029381
712.0,2026-07-01,5,put,0.925,0.201474,-0.027976
713.0,2026-07-01,5,put,0.985,0.197952,-0.026572
714.0,2026-07-01,5,put,1.105,0.197498,-0.025171
715.0,2026-07-01,5,put,1.205,0.195373,-0.023771
716.0,2026-07-01,5,put,1.305,0.192796,-0.022374
717.0,2026-07-01,5,put,1.42,0.190507,-0.020978
718.0,2026-07-01,5,put,1.54,0.187977,-0.019584
719.0,2026-07-01,5,put,1.675,0.185632,-0.018192
720.0,2026-07-01,5,put,1.85,0.184434,-0.016803
721.0,2026-07-01,5,put,2.035,0.183015,-0.015415
722.0,2026-07-01,5,put,2.21,0.180613,-0.014029
723.0,2026-07-01,5,put,2.34,0.176033,-0.012644
724.0,2026-07-01,5,put,2.57,0.174531,-0.011262
725.0,2026-07-01,5,put,2.845,0.173888,-0.009882
726.0,2026-07-01,5,put,3.105,0.172026,-0.008504
727.0,2026-07-01,5,put,3.32,0.168064,-0.007127
728.0,2026-07-01,5,put,3.715,0.169083,-0.005753
729.0,2026-07-01,5,put,4.005,0.166075,-0.00438
730.0,2026-07-01,5,put,4.345,0.163855,-0.003009
731.0,2026-07-01,5,put,4.77,0.163378,-0.00164
732.0,2026-07-01,5,put,5.105,0.159444,-0.000273
733.0,2026-07-01,5,put,5.54,0.157615,0.001092
734.0,2026-07-01,5,put,6.03,0.156534,0.002455
735.0,2026-07-01,5,put,6.405,0.151154,0.003817
736.0,2026-07-01,5,put,6.97,0.150451,0.005176
737.0,2026-07-01,5,put,7.66,0.152656,0.006534
738.0,2026-07-01,5,put,8.24,0.150586,0.00789
739.0,2026-07-01,5,put,8.775,0.14597,0.009244
740.0,2026-07-01,5,put,9.515,0.147071,0.010596
741.0,2026-07-01,5,put,10.125,0.142609,0.011947
742.0,2026-07-01,5,put,10.985,0.146267,0.013296
743.0,2026-07-01,5,put,11.75,0.145535,0.014642
744.0,2026-07-01,5,put,12.55,0.145251,0.015987
745.0,2026-07-01,5,put,13.43,0.147676,0.017331
746.0,2026-07-01,5,put,14.17,0.142429,0.018672
747.0,2026-07-01,5,put,15.08,0.144698,0.020011
748.0,2026-07-01,5,put,16.095,0.152491,0.021349
749.0,2026-07-01,5,put,16.99,0.153103,0.022685
750.0,2026-07-01,5,put,17.98,0.159117,0.024019
751.0,2026-07-01,5,put,19.075,0.171669,0.025352
752.0,2026-07-01,5,put,19.985,0.172502,0.026683
760.0,2026-07-01,5,put,28.05,0.227447,0.037265
480.0,2026-07-02,6,call,252.78,1.308535,-0.422268
520.0,2026-07-02,6,call,212.935,1.150252,-0.342225
525.0,2026-07-02,6,call,207.93,1.117219,-0.332655
530.0,2026-07-02,6,call,203.0,1.117379,-0.323177
600.0,2026-07-02,6,call,132.925,0.686614,-0.199124
605.0,2026-07-02,6,call,128.0,0.68588,-0.190825
610.0,2026-07-02,6,call,123.04,0.670693,-0.182595
625.0,2026-07-02,6,call,108.04,0.589751,-0.158302
650.0,2026-07-02,6,call,83.01,0.450684,-0.119081
655.0,2026-07-02,6,call,78.07,0.438152,-0.111418
660.0,2026-07-02,6,call,73.07,0.411965,-0.103814
664.0,2026-07-02,6,call,69.155,0.406383,-0.097772
665.0,2026-07-02,6,call,68.06,0.383907,-0.096267
668.0,2026-07-02,6,call,65.135,0.381709,-0.091766
669.0,2026-07-02,6,call,64.09,0.368643,-0.09027
